pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Barrie Flyers,5,0,7,OHA-Jr.,6,1959-60,19,2
0,Niagara Falls Flyers,8,0,10,OHA-Jr.,7,1960-61,20,2
0,Clinton Comets,1,0,5,EHL,6,1961-62,21,4
0,Kingston Frontenacs,0,0,2,EPHL,3,1961-62,21,2
2,Kingston Frontenacs,6,0,7,EPHL,5,1962-63,22,1
2,Minneapolis Bruins,1,0,5,CPHL,5,1963-64,23,4
0,Hershey Bears,2,0,2,AHL,3,1965-66,25,0
0,Hershey Bears,2,0,2,AHL,5,1966-67,26,0
0,Hershey Bears,1,0,2,AHL,5,1967-68,27,1
10,Hershey Bears,3,0,6,AHL,11,1968-69,28,3
2,Hershey Bears,6,0,8,AHL,7,1969-70,29,2
4,Hershey Bears,2,0,2,AHL,4,1970-71,30,0
0,Hershey Bears,1,0,1,AHL,4,1971-72,31,0
2,Hershey Bears,8,0,11,AHL,7,1972-73,32,3
