assists,year,games_played,points,goals,team,age,pim,plus_minus,league
2,2002-03,16,5,3,Sioux City Musketeers,16,8,5,USHL
10,2003-04,27,18,8,Kitchener Rangers,17,21,-4,OHL
30,2004-05,59,50,20,Kitchener Rangers,18,41,2,OHL
0,2005-06,3,0,0,Albany River Rats,19,2,-4,AHL
33,2005-06,60,68,35,2 Teams,19,94,18,OHL
4,2005-06,22,17,13,Kitchener Rangers,19,30,-5,OHL
29,2005-06,38,51,22,Windsor Spitfires,19,64,23,OHL
13,2006-07,41,18,5,Lowell Devils,20,26,1,AHL
12,2007-08,60,19,7,Lowell Devils,21,58,-25,AHL
17,2008-09,74,30,13,Lowell Devils,22,45,-13,AHL
20,2009-10,73,35,15,Lowell Devils,23,39,-1,AHL
14,2010-11,66,21,7,2 Teams,24,24,-8,AHL
10,2010-11,40,13,3,Albany Devils,24,22,-11,AHL
4,2010-11,26,8,4,Worcester Sharks,24,2,3,AHL
7,2011-12,44,16,9,Grizzly Adams Wolfsburg,25,30,0,Germany
8,2012-13,41,11,3,CSKA Moscow,26,26,0,KHL
