game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,0,0,0,0,20,,3,0,1936-37,0,0,0,0,BOS,,0,,NHL
0,0,0,0,0,21,,3,0,1937-38,0,0,0,0,BOS,,0,,NHL
0,0,0,0,0,22,,0,3,1938-39,4,0,1,0,BOS,SC,6,,NHL
0,0,0,0,0,23,,6,0,1939-40,1,0,1,0,BOS,,0,,NHL
0,0,0,0,0,24,,0,3,1940-41,4,0,1,0,BOS,SC,9,,NHL
0,0,0,0,0,29,,0,3,1945-46,7,0,4,0,BOS,,0,,NHL
0,0,0,0,0,30,,5,1,1946-47,2,0,1,0,BOS,,8,,NHL
0,0,0,0,0,31,,5,0,1947-48,0,0,0,0,BOS,,0,,NHL
0,0,0,0,0,32,,5,0,1948-49,3,0,3,0,BOS,,0,,NHL
0,0,0,0,0,34,,6,2,1950-51,3,0,1,0,BOS,,0,,NHL
0,0,0,0,0,35,,7,1,1951-52,1,0,0,0,BOS,,0,,NHL
0,0,0,0,0,36,,11,2,1952-53,2,0,0,0,BOS,,0,,NHL
0,0,0,0,0,37,,4,0,1953-54,0,0,0,0,BOS,,0,,NHL
