game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,0,0,0,1,0,1935-36,0,0,0,0,,NHL,0,0,19,0,[],0,0,,BOS
0,0,0,0,17,4,1936-37,0,0,4,0,,NHL,0,0,20,2,[],8,0,,BOS
0,0,0,0,48,14,1937-38,0,0,13,0,,NHL,0,0,21,6,[],27,0,,BOS
0,0,0,0,46,15,1938-39,0,0,14,0,,NHL,0,0,22,2,"[{'link': '/awards/voting-1939.html#byng', 'name': 'Byng-5'}]",29,0,,BOS
0,0,0,0,48,21,1939-40,0,0,22,0,,NHL,0,0,23,16,"[{'link': '/awards/nhl_all_star.html#1940', 'name': None}]",43,0,,BOS
0,0,0,0,40,15,1940-41,0,0,18,0,,NHL,0,0,24,2,"[{'link': '/awards/nhl_all_star.html#1941', 'name': None}]",33,0,,BOS
0,0,0,0,35,15,1941-42,0,0,14,0,,NHL,0,0,25,8,[],29,0,,BOS
0,0,0,0,0,12,1945-46,0,0,22,0,,NHL,0,0,29,2,[],34,0,,BOS
0,0,0,0,60,28,1946-47,0,0,24,0,,NHL,0,0,30,12,"[{'link': '/awards/nhl_all_star.html#1947', 'name': None}]",52,0,,BOS
0,0,0,0,59,16,1947-48,0,0,21,0,,NHL,0,0,31,14,[],37,0,,BOS
0,0,0,0,59,12,1948-49,0,0,11,0,,NHL,0,0,32,6,[],23,0,,BOS
0,0,0,0,69,25,1949-50,0,0,14,0,,NHL,0,0,33,14,[],39,0,,BOS
0,0,0,0,0,21,1950-51,0,0,20,0,,NHL,0,0,34,7,"[{'link': '/awards/voting-1951.html#byng', 'name': 'Byng-2'}]",41,0,,BOS
0,0,0,0,39,8,1951-52,0,0,5,0,,NHL,0,0,35,0,[],13,0,,BOS
0,0,0,0,62,9,1952-53,0,0,5,0,,NHL,0,0,36,2,[],14,0,,BOS
0,0,0,0,69,3,1953-54,0,0,4,0,,NHL,0,0,37,6,[],7,0,,BOS
