won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,3,SJS,149,24,1,0,0,5,0,0,0,0,1,0,0,0,0,.937,2000-01,79,2.01,0,74
,0,NHL,1,SJS,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,2001-02,2,0.00,0,2
,0,NHL,0,CGY,0,27,0,93,1,0,0,4.06,0,0,15,1,0,0,0,.928,2003-04,0,1.85,0,0
,0,NHL,7,CGY,428,29,4,84,0,16,0,2.98,0,0,3,0,0,0,0,.921,2005-06,202,2.24,2,186
,0,NHL,6,CGY,384,30,4,87,0,18,0,2.70,0,0,2,0,0,0,0,.929,2006-07,255,2.81,0,237
,2,NHL,7,CGY,336,31,4,107,0,18,7,-1.17,0,1,2,0,.429,0,3,.908,2007-08,196,3.21,2,178
,2,NHL,6,CGY,324,32,4,136,0,19,6,-5.07,0,0,2,0,.333,0,2,.884,2008-09,164,3.52,2,145
