league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,24,0,21,13,3,0,,NYR,[],7.7,1,2,-5,1,0,1987-88,,0,50,0,2
NHL,47,0,22,39,5,0,,MNS,[],5.1,2,3,-9,2,0,1988-89,,0,107,0,3
NHL,66,0,23,50,10,0,,MNS,[],6.0,2,7,0,3,0,1989-90,,1,240,0,7
NHL,69,2,24,92,32,11,,MNS,[],5.4,4,27,1,5,0,1990-91,,1,189,1,15
NHL,63,0,25,93,28,12,,MNS,[],4.3,0,24,-13,4,0,1991-92,,4,179,2,10
NHL,69,2,26,122,42,10,,MNS,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-16'}]",12.3,8,27,-1,15,0,1992-93,,7,157,0,17
NHL,61,0,27,112,24,9,,DAL,[],5.4,5,18,6,6,0,1993-94,,1,143,1,8
NHL,42,1,28,71,12,1,,WSH,[],4.2,1,9,-5,3,0,1994-95,,2,71,1,7
NHL,71,0,29,82,13,3,,WSH,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-14'}, {'link': '/awards/voting-1996.html#norris', 'name': 'Norris-12'}]",3.7,1,10,26,3,0,1995-96,,2,113,0,7
NHL,56,0,30,53,8,0,,WSH,"[{'link': '/awards/voting-1997.html#AS', 'name': 'AS-20'}]",3.8,2,6,3,2,0,1996-97,,0,118,1,5
NHL,47,0,31,57,17,0,,WSH,[],14.0,7,9,9,8,1,1997-98,,0,39,1,8
NHL,48,0,32,32,6,0,980,WSH,[],0.0,0,6,-6,0,0,1998-99,20:25,0,108,2,4
