age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
19,,0,0,1,2,NHL,2,0,2011-12,0,0,0,25,0,0,2,CHI,1
20,SC,2.0,1,5,-1,NHL,0,0,2012-13,0,50,1,377,0,4,76,CHI,6
21,,17.1,5,10,10,NHL,19,0,2013-14,1,35,6,333,1,6,72,CHI,16
22,SC,13.6,7,3,5,NHL,23,0,2014-15,2,59,8,466,0,6,103,CHI,11
24,,10.0,1,2,-5,NHL,5,0,2016-17,0,10,1,80,0,0,22,CBJ,3
