power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,16,11,1,NHL,2010-11,26,9,TBL,227,2,8,2,0,46,65,,19.6,9
1,7,6,0,NHL,2011-12,27,3,FLA,114,3,4,-2,0,24,37,,12.5,2
0,3,0,0,NHL,2014-15,30,0,MIN,30,0,0,-2,0,1,5,,0.0,0
