pim,team,assists,plus_minus,points,league,games_played,year,age,goals
22,Oshawa Generals,8,0,11,OHL,24,1986-87,17,3
16,Oshawa Generals,2,0,2,M-Cup,4,1986-87,17,0
8,Oshawa Generals,1,0,1,OHL,7,1987-88,18,0
4,Oshawa Generals,3,0,7,OHL,6,1988-89,19,4
26,Oshawa Generals,10,0,20,OHL,17,1989-90,20,10
0,Oshawa Generals,3,0,6,M-Cup,4,1989-90,20,3
16,Capital District Islanders,1,0,4,AHL,7,1991-92,22,3
10,Capital District Islanders,1,0,2,AHL,4,1992-93,23,1
16,Cape Breton Oilers,4,0,6,AHL,4,1993-94,24,2
18,Phoenix Roadrunners,1,0,3,IHL,4,1995-96,26,2
62,Whitby Dunlops,3,0,9,EOSHL,7,2005-06,36,6
12,Whitby Dunlops,2,0,5,Al-Cup,3,2005-06,36,3
