game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,-11,47,0,70,3,1997-98,3,0,3,1,,NHL,6.4,0,21,149,[],6,2,,CGY
0,-2,1,0,3,0,1998-99,0,0,0,0,5:37,NHL,0.0,0,22,24,[],0,0,17,TOT
0,-2,1,0,2,0,1998-99,0,0,0,0,8:11,NHL,0.0,0,22,17,[],0,0,16,CGY
0,0,0,0,1,0,1998-99,0,0,0,0,0:30,NHL,0,0,22,7,[],0,0,1,COL
1,-2,54,0,68,3,1999-00,1,0,8,2,6:29,NHL,14.8,2,23,132,[],11,6,441,COL
0,-3,33,0,41,1,2000-01,1,0,1,0,6:26,NHL,3.0,0,24,108,[],2,1,264,COL
0,-10,41,0,44,5,2001-02,5,0,0,0,8:07,NHL,0.0,0,25,103,[],5,0,357,TOT
0,-2,17,0,30,1,2001-02,1,0,0,0,6:54,NHL,0.0,0,25,77,[],1,0,207,CAR
0,-8,24,0,14,4,2001-02,4,0,0,0,10:43,NHL,0.0,0,25,26,[],4,0,150,TBL
0,-11,41,0,51,1,2002-03,1,0,2,0,9:34,NHL,4.9,0,26,91,[],3,2,488,TBL
0,-9,65,0,74,5,2003-04,5,0,1,0,8:16,NHL,1.5,0,27,140,[],6,1,612,TBL
0,-10,24,0,34,1,2005-06,1,0,0,0,5:29,NHL,0.0,0,29,22,[],1,0,187,TBL
