game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,1,-1,2,12,0,6,1,16,2009-10,0,0,0,0,0,NHL,0.0,1,2,57.1,2,23,8,8:27,[],1,0,0,51,MTL
0,10,-3,55,224,0,43,14,221,2010-11,10,0,8,4,12,NHL,14.5,4,16,49.7,19,24,82,12:52,[],22,6,4,553,MTL
2,36,10,98,693,0,81,44,678,2011-12,27,0,16,3,24,NHL,16.3,17,33,49.5,48,25,162,18:24,"[{'link': '/awards/voting-2012.html#byng', 'name': 'Byng-44'}]",60,24,13,1490,MTL
3,23,-2,66,382,0,0,18,382,2012-13,13,0,10,2,26,NHL,15.2,5,26,50.0,18,26,105,16:28,[],28,15,8,790,MTL
2,34,11,96,591,0,79,36,611,2013-14,24,0,16,3,24,NHL,16.7,12,23,50.8,35,27,158,17:12,[],52,22,13,1359,MTL
4,27,22,90,560,0,82,34,629,2014-15,25,0,14,2,24,NHL,15.6,9,43,52.9,49,28,172,17:15,[],48,20,12,1414,MTL
4,27,-6,90,412,0,65,18,391,2015-16,16,0,11,3,20,NHL,12.2,2,31,48.7,25,29,142,16:00,[],29,22,8,1040,MTL
1,21,4,46,162,0,49,8,170,2016-17,6,0,6,0,12,NHL,13.0,2,5,51.2,15,30,72,12:28,[],14,12,6,610,TOT
1,15,5,30,83,0,31,6,76,2016-17,4,0,4,0,6,NHL,13.3,2,2,47.8,6,30,48,13:06,[],10,7,4,406,MTL
0,6,-1,16,79,0,18,2,94,2016-17,2,0,2,0,6,NHL,12.5,0,3,54.3,9,30,24,11:21,[],4,5,2,204,EDM
