pim,team,assists,plus_minus,points,league,games_played,year,age,goals
8,Moose Jaw Canucks,2,0,3,SJHL,5,1947-48,19,1
4,Moose Jaw Canucks,0,0,2,M-Cup,5,1947-48,19,2
19,Moose Jaw Canucks,1,0,1,WCJHL,9,1948-49,20,0
11,Moose Jaw Canucks,1,0,3,M-Cup,7,1948-49,20,2
35,Calgary Stampeders,4,0,4,WCSHL,10,1949-50,21,0
42,Calgary Stampeders,10,0,14,Al-Cup,14,1949-50,21,4
12,Edmonton Flyers,3,0,4,WHL,13,1953-54,25,1
18,Edmonton Flyers,2,0,2,WHL,9,1954-55,26,0
22,Edmonton Flyers,2,0,5,Ed-Cup,7,1954-55,26,3
2,Edmonton Flyers,0,0,0,WHL,3,1955-56,27,0
8,Edmonton Flyers,0,0,1,WHL,8,1956-57,28,1
10,Edmonton Flyers,1,0,2,WHL,5,1957-58,29,1
0,Edmonton Flyers,1,0,1,WHL,3,1958-59,30,0
0,Edmonton Flyers,0,0,0,WHL,4,1959-60,31,0
