power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,12,9,0,NHL,1996-97,22,3,EDM,,6,18,-3,0,27,,,11.1,2
0,5,2,0,NHL,1997-98,23,0,NJD,,2,0,1,0,6,,,0.0,0
1,7,4,0,NHL,1998-99,24,2,NJD,118,2,4,-3,0,12,,,16.7,1
3,0,20,1,NHL,1999-00,25,8,NJD,379,12,18,7,0,56,,SC,14.3,5
0,23,15,0,NHL,2000-01,26,8,NJD,364,7,16,8,0,42,,,19.0,3
1,11,5,0,NHL,2002-03,28,3,DAL,171,2,6,-2,0,18,,,16.7,2
1,5,2,0,NHL,2003-04,29,1,DAL,87,1,2,-1,0,11,,,9.1,0
0,5,3,0,NHL,2005-06,31,0,DAL,100,3,4,-1,0,17,,,0.0,0
1,5,3,0,NHL,2006-07,32,2,NSH,96,1,2,0,0,11,,,18.2,1
0,4,1,1,NHL,2007-08,33,1,NSH,74,0,4,-1,0,6,10,,16.7,1
1,6,2,0,NHL,2009-10,35,2,NSH,107,0,0,-3,0,26,37,,7.7,1
1,9,6,0,NHL,2010-11,36,1,WSH,144,5,2,4,0,13,26,,7.7,0
1,7,1,0,NHL,2011-12,37,1,STL,76,0,0,-1,0,11,20,,9.1,0
