goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.3,0,NHL,1,MNS,60,23,1,0,0,3,0,0,0,0,0,0,0,0,0,.912,1985-86,34,3.00,0,[],31
6.4,0,NHL,38,MNS,2075,24,18,93,0,119,0,8.28,4,0,13,0,0,0,0,.888,1986-87,1061,3.44,14,[],942
4.7,0,NHL,37,MNS,1919,25,19,111,0,143,0,-14.42,6,1,8,0,0,0,0,.866,1987-88,1070,4.47,8,[],927
6.3,0,NHL,32,MNS,1603,26,15,84,0,93,0,18.19,4,0,8,0,0,0,0,.899,1988-89,922,3.48,6,[],829
1.8,0,NHL,21,MNS,1012,27,12,119,1,68,0,-10.71,0,0,4,1,0,0,0,.859,1989-90,482,4.03,2,[],414
1.2,0,NHL,13,TOT,648,28,6,122,1,49,0,-8.76,0,0,4,1,0,0,0,.861,1990-91,353,4.54,0,[],304
0.1,0,NHL,2,MNS,119,28,2,0,0,12,0,0,0,0,0,0,0,0,0,.838,1990-91,74,6.05,0,[],62
1.1,0,NHL,11,EDM,529,28,4,0,1,37,0,0,0,0,4,1,0,0,0,.867,1990-91,279,4.20,0,[],242
