year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1958-59,18,1,6,2,0,SJHL,10,Prince Albert Mintos,3
1959-60,19,21,61,28,0,SJHL,57,Prince Albert Mintos,49
1960-61,20,20,59,26,0,SJHL,59,Prince Albert Mintos,46
1961-62,21,9,78,33,0,EPHL,70,Kitchener-Waterloo Beavers,42
