assists,year,games_played,points,goals,team,age,pim,plus_minus,league
37,2006-07,52,106,69,Central Ontario Wolves,16,36,0,Minor-ON
20,2007-08,64,50,30,Brampton Battalion,17,22,-2,OHL
3,2007-08,7,8,5,Canada,17,6,6,WJ18-A
48,2008-09,57,79,31,Brampton Battalion,18,42,32,OHL
3,2009-10,7,7,4,Canada,19,0,5,WC-A
0,2010-11,7,0,0,Canada,20,2,1,WC-A
10,2012-13,19,14,4,Frolunda HC Goteborg,22,12,0,Sweden
3,2012-13,4,5,2,HC Ambri-Piotta,22,2,0,Swiss
1,2012-13,8,5,4,Canada,22,0,3,WC-A
0,2013-14,4,0,0,Canada,23,0,1,Olympics
8,2014-15,10,12,4,Canada,24,2,10,WC
5,2015-16,10,10,5,Canada,25,2,10,WC
2,2016-17,6,4,2,Canada,26,2,3,WCup
