shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
12.0,0,2002-03,14,15,712,0,0,0,50,9,6,5,24,EDM,6,0,0,19,1,NHL,0,0,12:04,0,59,0,30,"[{'link': '/awards/voting-2003.html#calder', 'name': 'Calder-9'}]",0
13.8,0,2003-04,14,15,1025,0,0,0,87,7,8,-7,22,EDM,12,0,0,20,3,NHL,0,0,14:26,0,71,0,34,[],4
10.7,0,2005-06,64,23,1375,0,0,0,178,35,11,-5,58,EDM,19,0,0,22,4,NHL,1,0,16:59,0,81,0,77,[],7
10.7,0,2006-07,40,20,1087,0,0,0,122,20,8,-7,40,EDM,13,0,0,23,1,NHL,0,0,16:59,0,64,0,53,[],5
10.9,4,2007-08,34,29,1375,0,64,339,184,22,12,-9,51,EDM,20,42,20.0,24,2,NHL,0,29,18:35,24,74,1,71,"[{'link': '/awards/voting-2008.html#byng', 'name': 'Byng-41'}]",8
12.4,4,2008-09,32,16,1343,0,76,333,185,27,19,1,43,EDM,23,38,0.0,25,2,NHL,0,35,18:39,16,72,0,66,[],4
12.3,0,2009-10,8,10,395,0,15,97,57,5,4,7,15,EDM,7,8,100.0,26,0,NHL,0,11,17:56,5,22,1,22,[],3
14.0,6,2010-11,18,19,859,1,32,183,100,8,12,3,28,EDM,14,17,14.3,27,1,NHL,1,18,18:17,29,47,1,42,"[{'link': '/awards/voting-2011.html#byng', 'name': 'Byng-32'}]",1
7.3,4,2011-12,43,18,1214,0,55,256,137,8,9,-13,26,EDM,10,37,33.3,28,1,NHL,0,21,17:36,22,69,2,36,[],1
11.0,12,2012-13,16,7,597,0,17,130,82,4,4,-6,11,EDM,9,16,50.0,29,1,NHL,0,9,15:42,11,38,12,20,[],5
9.4,3,2013-14,24,19,1197,0,42,235,138,11,11,-15,30,TOT,13,44,25.0,30,1,NHL,0,33,15:58,37,75,1,43,[],2
9.6,3,2013-14,20,10,884,0,37,162,94,7,7,-13,17,EDM,9,33,25.0,30,1,NHL,0,23,16:05,26,55,1,26,[],2
9.1,0,2013-14,4,9,313,0,5,73,44,4,4,-2,13,OTT,4,11,0,30,0,NHL,0,10,15:38,11,20,0,17,[],0
7.9,0,2014-15,16,14,1037,0,37,255,140,7,10,-8,21,DAL,11,30,0,31,1,NHL,0,35,13:38,22,76,0,32,[],1
8.4,4,2015-16,20,22,983,0,36,265,155,4,12,3,26,DAL,13,22,33.3,32,0,NHL,0,26,13:06,25,75,2,39,[],1
13.3,0,2016-17,0,2,216,0,6,52,30,1,3,-1,3,DAL,4,9,0,33,0,NHL,0,4,14:25,1,15,0,7,[],1
