even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,EDM,0,0,19,0,,NHL,0,7,77,2002-03,6,0.0,,0,0,-5
2,11,EDM,6,14,22,2,,NHL,0,47,386,2005-06,24,12.8,,4,17,-3
0,3,DAL,1,2,32,0,66,NHL,0,41,200,2015-16,13,2.4,,1,4,-1
