average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,17,1,0,NHL,27,0,20,0,0,6,3,0,0,1964-65,NYR,9,8,[],0,,0
,18,0,1,NHL,28,0,14,0,0,5,0,0,0,1965-66,TOT,6,12,[],0,,51
,4,0,1,NHL,28,0,2,0,0,1,0,0,0,1965-66,NYR,2,2,[],0,,21
,14,0,0,NHL,28,0,12,0,0,4,0,0,0,1965-66,CBH,4,10,[],0,,30
,18,0,0,NHL,29,0,21,0,0,4,2,0,0,1966-67,CBH,6,12,[],0,,63
,49,1,0,NHL,30,28,35,4,146,10,2,2,7,1967-68,PHI,12,37,[],8.2,,70
,37,2,0,NHL,31,15,36,-21,123,14,3,0,5,1968-69,PIT,17,20,[],13.8,,71
,38,2,0,NHL,32,19,25,2,97,7,5,0,7,1969-70,CBH,12,26,[],12.4,,70
,25,2,1,NHL,33,13,19,17,83,7,1,2,1,1970-71,CBH,9,16,[],10.8,,65
,15,0,0,NHL,34,9,23,0,58,5,0,1,0,1971-72,CBH,5,10,[],8.6,,65
,37,4,1,NHL,35,18,26,-3,91,10,4,2,2,1972-73,CBH,15,22,[],16.5,,77
,35,5,0,NHL,36,21,9,-3,84,11,1,0,2,1973-74,STL,12,23,[],14.3,,51
,7,0,1,WHA,37,0,9,-1,14,1,0,0,0,1974-75,CHC,2,5,[],14.3,,26
