bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,0,2.26,0,0,NHL,0,22,0,0,0,0,0,0,5,0,1936-37,TOR,2,,0,0,0,2,133
0,1,0,1.73,0,0,NHL,0,23,0,0,0,0,0,0,13,0,1937-38,TOR,0,,0,0,4,7,452
0,0,0,1.94,0,0,NHL,0,24,0,0,0,0,0,0,0,0,1938-39,TOR,0,,0,0,5,10,617
0,1,0,1.74,0,0,NHL,0,25,0,0,0,0,0,0,19,0,1939-40,TOR,0,,0,0,6,10,657
0,0,0,2.05,0,0,NHL,0,26,0,0,0,0,0,0,15,0,1940-41,TOR,4,,0,0,3,7,438
0,0,0,2.38,0,0,NHL,0,27,0,0,0,0,0,0,31,0,1941-42,TOR,0,SC,0,0,0,0,0
0,0,0,2.73,0,0,NHL,0,28,0,0,0,0,0,0,20,0,1942-43,TOR,4,,0,0,2,6,439
0,0,0,2.38,0,0,NHL,0,32,0,0,0,0,0,0,0,0,1946-47,TOR,3,SC,0,0,0,0,680
0,0,0,0,0,0,NHL,0,33,0,0,10,0,0,0,20,0,1947-48,TOR,1,SC,0,0,0,9,557
0,0,0,0,0,0,NHL,0,34,0,0,2,0,0,0,15,0,1948-49,TOR,1,SC,0,0,0,9,574
0,0,0,0,0,0,NHL,0,35,0,0,0,0,0,0,10,0,1949-50,TOR,4,,0,0,3,7,450
0,0,0,0,0,0,NHL,0,36,0,0,0,0,0,0,9,0,1950-51,TOR,1,SC,0,0,0,8,492
0,0,0,3.50,0,0,NHL,0,37,0,0,0,0,0,0,7,0,1951-52,TOR,2,,0,0,0,2,120
