average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,WHA,19,0,37,1,3,0,0,0,0,1974-75,CLC,0,0,[],0.0,,5
,10,1,0,WHA,20,0,201,-7,65,2,1,0,0,1975-76,CLC,3,7,[],4.6,,67
,23,0,0,WHA,21,0,244,14,123,6,0,0,0,1976-77,QBN,6,17,[],4.9,,66
,35,0,0,WHA,22,0,240,-37,145,6,0,0,0,1977-78,QBN,6,29,[],4.1,,76
,46,0,0,WHA,23,0,240,-5,125,4,6,0,0,1978-79,QBN,10,36,[],8.0,,76
,20,1,0,NHL,24,5,145,-27,90,3,4,0,8,1979-80,QUE,7,13,[],7.8,,61
,19,0,0,NHL,25,12,204,-11,62,4,1,0,2,1980-81,PIT,5,14,[],8.1,,51
,43,2,0,NHL,26,23,0,-9,177,5,4,0,11,1981-82,PIT,9,34,[],5.1,,76
,32,0,0,NHL,27,12,238,-49,159,6,5,0,9,1982-83,PIT,11,21,[],6.9,,75
,27,1,0,NHL,28,20,182,-1,87,6,1,0,0,1983-84,CGY,7,20,[],8.0,,74
,19,1,0,NHL,29,14,126,39,83,5,0,0,0,1984-85,CGY,5,14,[],6.0,,70
,7,0,1,NHL,30,3,194,5,41,3,0,0,0,1985-86,CGY,4,3,[],9.8,,47
,2,0,0,NHL,31,2,66,-5,13,0,0,0,0,1986-87,CGY,0,2,[],0.0,,18
