game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,0,6,32,0,0,34,7,0,1995-96,7,0,5,1,6,NHL,15.6,0,0,0,0,19,0,,[],12,0,4,,DET
0,0,-10,81,0,0,65,9,0,1996-97,9,0,3,0,28,NHL,3.7,0,0,0,0,20,0,,[],12,0,3,,DET
0,0,5,75,0,0,68,12,0,1997-98,12,0,5,0,43,NHL,6.7,0,0,0,0,21,0,,[],17,0,5,,DET
0,0,17,94,0,0,75,10,0,1998-99,9,0,4,0,59,NHL,4.3,1,0,0,0,22,0,15:10,[],14,0,4,1138,DET
0,0,-12,98,0,1,81,12,0,1999-00,11,0,6,0,20,NHL,6.1,0,0,0,0,23,0,12:10,[],18,0,6,986,DET
2,0,11,95,0,0,73,15,0,2000-01,13,0,10,2,38,NHL,10.5,2,0,0,0,24,0,16:06,[],25,0,8,1175,DET
3,0,-5,97,0,0,81,12,0,2001-02,10,0,8,2,44,NHL,8.2,2,0,0,0,25,0,16:43,[],20,0,6,1354,DET
0,0,25,74,0,0,74,15,0,2002-03,15,0,4,1,64,NHL,5.4,0,0,0,0,26,0,19:08,[],19,0,3,1415,DET
0,0,9,68,0,0,65,9,0,2003-04,8,1,3,0,40,NHL,4.4,1,0,0,0,27,0,13:47,[],12,0,2,896,DET
1,0,8,101,0,1,82,15,0,2005-06,12,0,5,0,83,NHL,5.0,2,0,0,0,29,0,18:38,[],20,0,5,1528,MTL
0,0,-8,54,0,0,68,6,0,2006-07,6,0,2,0,40,NHL,3.7,0,0,0,0,30,0,16:07,[],8,0,2,1096,MTL
0,17,-11,69,1,0,61,5,0,2007-08,5,1,9,0,34,NHL,13.0,0,70,0.0,26,31,118,11:08,[],14,19,8,679,MTL
0,9,7,46,3,1,41,8,2,2008-09,6,0,4,0,17,NHL,8.7,1,42,40.0,29,32,75,11:45,[],12,17,4,482,MTL
