game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,25.0,-2,4,1,21,,3,0,1997-98,1,0,1,0,DET,SC,0,,NHL
0,0.0,0,15,0,22,118,10,1,1998-99,1,0,0,0,DET,,0,,NHL
0,0.0,2,1,0,23,51,6,0,1999-00,0,0,0,0,DET,,2,,NHL
0,0.0,-1,5,0,24,85,6,1,2000-01,1,0,0,0,DET,,0,,NHL
0,9.1,7,11,0,25,310,0,2,2001-02,3,1,1,0,DET,SC,8,,NHL
0,0.0,-1,9,0,26,103,4,0,2002-03,0,0,0,0,DET,,2,,NHL
1,5.9,-1,17,0,27,163,12,1,2003-04,2,0,1,1,DET,,6,,NHL
0,0.0,1,8,0,29,119,6,3,2005-06,3,0,0,0,MTL,,4,,NHL
0,0.0,-3,13,0,31,79,9,0,2007-08,0,0,0,0,MTL,,2,19,NHL
0,0.0,-2,8,0,32,84,4,0,2008-09,0,0,0,0,MTL,,0,11,NHL
