shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
2.2,0,2000-01,48,14,818,0,0,0,92,0,2,-8,14,NSH,2,0,0,18,0,NHL,0,0,10:54,0,75,0,16,[],0
8.6,0,2001-02,111,21,1273,0,0,0,162,6,11,5,27,NSH,14,0,0,19,4,NHL,0,0,16:58,0,75,0,41,[],3
5.4,0,2002-03,101,19,1254,0,0,0,221,3,10,-3,22,NSH,12,0,0,20,2,NHL,0,0,15:17,0,82,0,34,[],2
11.7,0,2003-04,87,7,960,0,0,0,154,8,13,-5,15,NSH,18,0,0,21,3,NHL,0,0,16:16,0,59,0,33,[],5
11.8,0,2005-06,101,14,1303,2,0,0,211,7,13,8,23,NSH,25,0,0,23,8,NHL,2,0,16:05,0,81,0,48,[],10
14.7,0,2006-07,96,15,1006,1,0,0,150,1,12,19,17,NSH,22,0,0,24,2,NHL,0,0,15:43,0,64,0,39,[],10
13.6,19,2007-08,159,16,1294,1,32,274,176,2,13,2,19,PHI,24,31,40.6,25,6,NHL,1,32,16:11,110,80,13,43,[],10
14.3,18,2008-09,143,23,1460,0,78,332,210,7,23,14,30,PHI,30,41,50.0,26,5,NHL,1,36,17:48,104,82,18,60,[],6
8.2,4,2009-10,155,24,1273,0,45,288,171,6,6,-6,30,PHI,14,27,20.0,27,4,NHL,0,30,15:43,138,81,1,44,[],8
13.6,5,2010-11,142,19,1362,0,33,291,177,6,20,14,25,PHI,24,31,50.0,28,4,NHL,0,38,16:36,168,82,5,49,[],4
15.9,43,2011-12,136,23,1458,0,42,374,232,7,21,19,30,PHI,37,27,31.7,29,6,NHL,0,37,17:47,188,82,20,67,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-2012.html#AS', 'name': 'AS-14'}, {'link': '/awards/voting-2012.html#selke', 'name': 'Selke-43'}]",16
10.8,1,2012-13,70,2,508,0,21,128,74,1,4,-5,3,PHI,8,11,75.0,30,1,NHL,0,21,15:52,68,32,3,11,[],4
9.7,14,2013-14,103,21,1317,0,35,354,207,11,11,11,32,PHI,20,19,22.2,31,3,NHL,0,39,16:53,155,78,4,52,[],9
13.7,7,2014-15,100,24,1332,0,40,308,204,8,20,1,32,CBJ,28,36,50.0,32,2,NHL,0,38,17:18,160,77,7,60,[],8
15.3,3,2015-16,112,24,1231,0,32,240,150,2,13,-11,26,CBJ,23,20,0.0,33,1,NHL,0,41,15:35,131,79,0,49,[],10
12.5,3,2016-17,63,23,941,0,30,172,104,1,11,14,24,CBJ,13,17,50.0,34,1,NHL,0,40,12:04,94,78,3,37,[],2
