assists,team,goals,year,games_played,points,pim,age,plus_minus,league
1,Lloydminster Blazers,2,1997-98,4,3,8,15,0,AJHL
5,Prince Albert Raiders,0,1998-99,14,5,22,16,-11,WHL
2,Prince Albert Raiders,3,1999-00,6,5,6,17,-4,WHL
7,Valerengen IF Oslo,12,2004-05,11,19,24,22,0,Norway
