pim,team,assists,plus_minus,points,league,games_played,year,age,goals
8,Port Arthur Flyers,2,0,6,TBJHL,10,1943-44,16,4
4,Port Arthur Flyers,8,0,25,TBJHL,11,1944-45,17,17
0,Port Arthur Flyers,10,0,21,TBJHL,6,1945-46,18,11
79,Oakland Oaks,36,0,79,PCHL,60,1946-47,19,43
29,St. Louis Flyers,18,0,29,AHL,58,1947-48,20,11
59,St. Louis Flyers,47,0,71,AHL,62,1948-49,21,24
13,Indianapolis Capitols,2,0,3,AHL,8,1950-51,23,1
11,Milwaukee Seagulls,6,0,10,USHL,9,1950-51,23,4
34,St. Louis Flyers,21,0,30,AHL,37,1951-52,24,9
61,Calgary Stampeders,16,0,37,WHL,45,1952-53,25,21
29,Calgary Stampeders,33,0,54,WHL,43,1953-54,26,21
0,Calgary Stampeders,3,0,5,Alx-Cup,7,1953-54,26,2
