assists,year,games_played,points,goals,team,age,pim,plus_minus,league
19,1980-81,42,22,3,Bramalea Blues,17,58,0,ON-Jr.A
10,1981-82,23,12,2,Dixie Beehives,18,27,0,ON-Jr.A
7,1981-82,12,8,1,Streetsville Derbys,18,23,0,ON-Jr.B
5,1982-83,35,5,0,University of Toronto,19,32,0,OUAA
17,1983-84,47,28,11,University of Toronto,20,54,0,OUAA
19,1984-85,45,25,6,University of Toronto,21,105,0,OUAA
41,1985-86,44,54,13,University of Toronto,22,111,0,OUAA
1,1986-87,13,1,0,New Haven Nighthawks,23,4,0,AHL
23,1986-87,66,25,2,Flint Spirits,23,51,0,IHL
0,1987-88,1,0,0,Flint Spirits,24,0,0,IHL
1,1988-89,3,1,0,Canada,25,2,0,Nat-Tm
