average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,6,0,0,NHL,19,6,54,-9,41,0,0,0,0,1984-85,CBH,0,6,[],0.0,,60
,14,1,0,NHL,20,7,60,0,50,7,0,0,0,1985-86,CBH,7,7,[],14.0,,71
,14,0,0,NHL,21,10,66,4,56,4,0,0,0,1986-87,CHI,4,10,[],7.1,,66
,7,0,0,NHL,22,5,85,-19,51,1,0,0,1,1987-88,CHI,1,6,[],2.0,,58
,15,0,0,NHL,23,13,80,-1,65,1,1,0,0,1988-89,TOT,2,13,[],3.1,,69
,0,0,0,NHL,23,0,18,-3,9,0,0,0,0,1988-89,CHI,0,0,[],0.0,,11
,15,0,0,NHL,23,13,62,2,56,1,1,0,0,1988-89,NYI,2,13,[],3.6,,58
,4,0,0,NHL,24,3,30,-8,12,0,0,1,0,1989-90,NYI,0,4,[],0.0,,18
,0,0,0,NHL,25,0,4,-3,2,0,0,0,0,1990-91,HAR,0,0,[],0.0,,4
,24,1,1,NHL,26,7,64,-13,96,2,4,1,9,1991-92,HAR,7,17,[],7.3,,75
,14,0,0,NHL,27,12,66,-16,69,2,0,0,0,1992-93,TBL,2,12,[],2.9,,78
,16,1,0,NHL,28,13,87,-5,76,1,0,1,1,1993-94,TBL,1,15,[],1.3,,83
,6,0,1,NHL,29,4,51,-6,32,1,0,0,0,1994-95,TBL,2,4,[],6.3,,44
,10,0,0,NHL,30,8,33,7,26,1,0,1,0,1995-96,DET,1,9,[],3.8,,70
,4,0,0,NHL,31,3,53,-9,30,0,0,0,1,1996-97,STL,0,4,[],0.0,,0
,10,0,0,NHL,32,6,90,-2,40,3,0,1,0,1997-98,STL,3,7,[],7.5,,81
16:09,2,0,0,NHL,33,1,99,-14,40,1,0,0,0,1998-99,STL,1,1,[],2.5,840,52
21:16,9,0,0,NHL,34,7,75,27,54,1,0,1,0,1999-00,STL,1,8,[],1.9,1723,81
16:50,5,0,0,NHL,35,4,26,6,12,1,0,0,0,2000-01,TOT,1,4,[],8.3,640,38
14:51,0,0,0,NHL,35,0,0,1,1,0,0,0,0,2000-01,STL,0,0,[],0.0,30,2
16:57,5,0,0,NHL,35,4,26,5,11,1,0,0,0,2000-01,PIT,1,4,[],9.1,610,36
12:15,3,0,0,NHL,36,3,2,6,13,0,0,0,0,2001-02,STL,0,3,[],0.0,368,30
18:46,7,0,0,NHL,37,4,36,-11,27,2,0,1,0,2002-03,TOT,2,5,[],7.4,1313,70
18:46,7,0,0,NHL,37,4,36,-9,27,2,0,1,0,2002-03,PIT,2,5,[],7.4,1295,69
18:26,0,0,0,NHL,37,0,0,-2,0,0,0,0,0,2002-03,TBL,0,0,[],0,18,1
16:02,11,0,0,NHL,38,10,29,-6,30,1,0,0,0,2003-04,TOT,1,10,[],3.3,978,61
17:01,9,0,0,NHL,38,8,27,-8,23,1,0,0,0,2003-04,PIT,1,8,[],4.3,885,52
10:19,2,0,0,NHL,38,2,2,2,7,0,0,0,0,2003-04,VAN,0,2,[],0.0,93,9
