goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
-0.1,0,NHL,2,STL,100,27,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1971-72,0,5.40,0,[],0
7.7,0,NHL,45,STL,2535,28,15,0,0,128,0,0,7,1,18,0,0,0,0,0,1972-73,0,3.03,0,[],0
6.6,0,NHL,40,STL,2360,29,21,0,1,123,0,0,5,2,13,1,0,0,0,0,1973-74,0,3.13,2,[],0
2.3,0,NHL,12,PHI,639,30,2,0,0,29,0,0,1,1,7,0,0,0,0,0,1974-75,0,2.72,0,[],0
14.7,0,NHL,66,PHI,3819,31,10,0,0,164,0,0,0,1,40,0,0,0,0,0,1975-76,0,2.58,11,[],0
4.4,0,NHL,21,PHI,1065,32,3,0,0,41,0,0,2,3,12,0,0,0,0,0,1976-77,0,2.31,4,[],0
5.1,0,NHL,26,PHI,1482,33,10,0,0,68,0,0,1,3,14,0,0,0,0,0,1977-78,0,2.75,0,[],0
6.3,0,NHL,40,PHI,2187,34,10,0,1,122,0,0,5,2,20,1,0,0,0,0,1978-79,0,3.35,2,[],0
8.1,0,NHL,56,WSH,3146,35,24,0,2,187,0,0,10,0,18,2,0,0,0,0,1979-80,0,3.57,20,[],0
2.6,0,NHL,20,WSH,1010,36,7,0,0,66,0,0,5,1,4,0,0,0,0,0,1980-81,0,3.92,4,[],0
