power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,3,1,0,NHL,1974-75,20,0,NYR,,1,2,0,0,7,,,0.0,0
0,3,0,0,NHL,1977-78,23,0,NYR,,0,2,-4,0,2,,,0.0,0
4,0,12,0,NHL,1978-79,24,7,NYR,,5,16,4,0,40,,,17.5,2
0,9,6,0,NHL,1979-80,25,0,NYR,,6,10,-1,0,30,,,0.0,0
1,14,12,0,NHL,1980-81,26,4,NYR,,8,17,2,0,34,,,11.8,3
2,8,4,0,NHL,1982-83,28,2,NYR,,2,12,-6,0,13,,,15.4,0
0,2,1,0,NHL,1983-84,29,1,NYR,,0,2,0,0,2,,,50.0,1
0,2,3,0,NHL,1984-85,30,0,NYR,,3,12,3,0,4,,,0.0,0
0,5,4,0,NHL,1985-86,31,3,NYR,,1,11,2,0,9,,,33.3,3
0,6,5,0,NHL,1986-87,32,0,NYR,,5,0,-1,0,16,,,0.0,0
0,4,1,0,NHL,1988-89,34,0,NYR,,1,6,-1,0,11,,,0.0,0
0,10,0,0,NHL,1989-90,35,0,NYR,,0,16,0,0,3,,,0.0,0
