age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,15.8,2,1,-4,NHL,6,0,1992-93,0,19,3,,1,6,,QUE,4
23,,18.5,3,4,-2,NHL,7,0,1994-95,1,27,5,,2,4,,TOR,9
24,,13.0,1,1,-8,NHL,6,0,1995-96,1,23,3,,2,4,,TOR,4
27,,18.2,5,8,2,NHL,17,0,1998-99,2,44,8,387,3,16,,TOR,16
28,,15.0,3,5,8,NHL,12,0,1999-00,1,20,3,257,0,10,,TOR,8
29,,14.3,3,7,5,NHL,11,1,2000-01,1,42,6,222,2,14,,TOR,13
30,,9.5,2,5,5,NHL,8,0,2001-02,0,21,2,161,0,4,,TOR,7
31,,6.3,0,3,-1,NHL,7,0,2002-03,0,16,1,170,1,6,,TOR,4
32,,21.1,4,5,-2,NHL,9,0,2003-04,1,19,4,166,0,8,,TOR,9
37,,20.0,3,5,-1,NHL,8,0,2008-09,1,15,3,127,0,2,30,VAN,8
