power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,6,6,0,NHL,1994-95,21,2,QUE,,4,4,2,0,13,,,15.4,1
3,0,21,1,NHL,1995-96,22,10,COL,,11,18,10,0,50,,SC,20.0,7
3,14,17,0,NHL,1996-97,23,5,COL,,12,10,-6,0,35,,,14.3,2
2,7,11,0,NHL,1997-98,24,6,COL,,5,12,3,0,18,,,0,4
1,19,0,0,NHL,1998-99,25,8,COL,411,16,31,7,1,54,,,14.8,6
2,16,15,0,NHL,1999-00,26,7,COL,336,8,12,0,1,54,,,13.0,4
1,11,14,2,NHL,2000-01,27,4,COL,241,10,6,5,0,23,,SC,17.4,3
0,20,0,0,NHL,2001-02,28,9,COL,363,0,20,8,0,35,,,25.7,0
1,7,8,0,NHL,2002-03,29,2,COL,140,6,6,3,0,23,,,8.7,1
1,11,11,1,NHL,2003-04,30,4,COL,209,7,12,6,0,16,,,25.0,3
1,6,8,2,NHL,2005-06,32,4,PHI,113,4,6,2,0,12,,,33.3,3
0,5,4,0,NHL,2006-07,33,2,NSH,105,2,12,2,0,7,,,28.6,2
0,7,5,0,NHL,2007-08,34,1,COL,128,4,14,3,0,13,21,,7.7,1
