assists,team,goals,year,games_played,points,pim,age,plus_minus,league
35,Vancouver Villas,35,1980-81,50,70,30,16,0,BCJHL
0,Portland Winter Hawks,1,1980-81,2,1,0,16,0,WHL
47,Portland Winter Hawks,52,1981-82,65,99,65,17,0,WHL
69,Portland Winter Hawks,82,1982-83,72,151,52,18,0,WHL
46,Portland Winter Hawks,44,1983-84,60,90,107,19,0,WHL
6,Canada,3,1983-84,7,9,12,19,0,WJC-A
26,New Haven Nighthawks,23,1984-85,60,49,29,20,0,AHL
38,New Haven Nighthawks,36,1985-86,77,74,53,21,0,AHL
14,Skelleftea HC,12,1986-87,36,26,40,22,0,Sweden
25,IK VIK Hockey Vasteras,26,1987-88,31,51,50,23,0,Sweden-2
10,Vasteras IK,5,1988-89,22,15,14,24,0,Sweden
3,Vasteras IK,1,1988-89,14,4,4,24,0,Sweden-Q
