age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,25.0,0,1,-2,NHL,5,0,1960-61,0,4,1,,0,0,,TOR,2
21,SC,10.6,0,3,6,NHL,0,0,1961-62,0,47,5,,0,0,,TOR,8
22,SC,21.2,0,5,0,NHL,10,0,1962-63,0,33,7,,0,0,,TOR,12
23,SC,13.5,0,2,5,NHL,0,0,1963-64,0,52,7,,0,2,,TOR,9
24,,10.5,0,2,1,NHL,6,0,1964-65,0,19,2,,0,2,,TOR,4
25,,0.0,0,2,-1,NHL,4,0,1965-66,0,9,0,,0,0,,TOR,2
26,SC,8.6,0,5,1,NHL,0,0,1966-67,0,35,3,,0,0,,TOR,8
28,,6.7,0,3,-2,NHL,4,1,1968-69,0,15,1,,0,2,,TOR,4
30,,12.0,3,2,2,NHL,6,0,1970-71,0,25,3,,0,0,,TOR,5
31,,12.5,2,3,-2,NHL,5,0,1971-72,0,16,2,,0,0,,TOR,5
33,,10.0,1,2,-2,NHL,4,0,1973-74,0,10,1,,0,0,,TOR,3
34,,0.0,0,5,0,NHL,7,0,1974-75,0,13,0,,0,0,,TOR,5
35,,0,0,2,0,WHA,7,0,1975-76,0,0,2,,0,2,,INR,4
36,,0,0,1,4,WHA,5,0,1976-77,0,0,3,,0,0,,NEW,4
37,,0,0,11,2,WHA,14,0,1977-78,1,0,5,,0,4,,NEW,16
38,,0,0,9,2,WHA,10,0,1978-79,1,0,3,,0,2,,NEW,12
39,,0.0,0,1,-3,NHL,3,0,1979-80,0,6,0,,0,0,,HAR,1
