assists,team,goals,year,games_played,points,pim,age,plus_minus,league
6,Flin Flon Bombers,1,1954-55,16,7,0,18,0,SJHL
29,Flin Flon Bombers,32,1955-56,47,61,4,19,0,SJHL
54,Flin Flon Bombers,28,1956-57,55,82,10,20,0,SJHL
21,Vancouver Canucks,22,1957-58,66,43,23,21,0,WHL
33,Vancouver Canucks,15,1958-59,70,48,21,22,0,WHL
26,Vancouver Canucks,12,1959-60,70,38,25,23,0,WHL
5,Vancouver Canucks,11,1960-61,53,16,10,24,0,WHL
16,Vancouver/Seattle,18,1961-62,70,34,14,25,0,WHL
23,Vancouver Canucks,12,1962-63,68,35,36,26,0,WHL
19,Vancouver Canucks,10,1963-64,70,29,8,27,0,WHL
0,Vancouver Canucks,0,1964-65,2,0,0,28,0,WHL
30,Charlotte Checkers,20,1964-65,59,50,33,28,0,EHL
7,Vancouver Canucks,10,1965-66,41,17,8,29,0,WHL
1,Vancouver Canucks,0,1966-67,13,1,4,30,0,WHL
33,Cranbrook Royals,10,1968-69,46,43,32,32,0,WIHL
21,Cranbrook Royals,13,1969-70,35,34,6,33,0,WIHL
