goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,-0.1,0,0,1974-75,[],18,195,0,2,0,0,0,0,TOR,0,0,0,5.54,22,NHL,0,0,4,0,1,2
0,0.0,0,0,1978-79,[],0,1,0,0,0,0,0,0,TOR,0,0,0,0.00,26,NHL,0,0,1,0,0,0
0,3.8,0,0,1979-80,[],130,1947,3,10,0,0,0,2,WIN,0,0,0,4.01,27,NHL,0,0,35,2,9,19
0,2.5,0,0,1980-81,[],128,1623,4,4,0,0,0,1,WIN,0,0,0,4.73,28,NHL,0,0,29,1,3,20
