pim,team,assists,plus_minus,points,league,games_played,year,age,goals
10,Schwenninger Wild Wings,1,0,6,Germany,14,1994-95,15,5
77,Schwenningen Wild Wings Jr.,6,0,9,Ger-Jr.,11,1995-96,16,3
0,Schwenninger Wild Wings,0,0,0,Germany,1,1995-96,16,0
4,Germany,0,0,1,EJC-A,5,1995-96,16,1
2,Schwenninger Wild Wings Jr.,1,0,2,Ger-Jr.,1,1996-97,17,1
28,Schwenninger Wild Wings,1,0,4,Germany,41,1996-97,17,3
2,Germany,0,0,0,WJC-A,6,1996-97,17,0
10,Germany,0,0,0,EJC-A,4,1996-97,17,0
45,Schwenninger Wild Wings,5,0,10,Germany,49,1997-98,18,5
8,Schwenninger Wild Wings Jr.,3,0,4,Ger-Jr.,4,1997-98,18,1
27,Germany,2,0,2,WJC-A,6,1997-98,18,0
8,Germany,2,0,3,WC-A,5,1997-98,18,1
24,Albany River Rats,12,5,13,AHL,55,1998-99,19,1
35,Albany River Rats,22,-15,31,AHL,64,1999-00,20,9
49,Albany River Rats,29,0,39,AHL,55,2000-01,21,10
42,2 Teams,14,-4,17,AHL,46,2001-02,22,3
12,Albany River Rats,5,-2,5,AHL,10,2001-02,22,0
30,Springfield Falcons,9,-2,12,AHL,36,2001-02,22,3
87,Adler Mannheim,3,0,4,Germany,49,2002-03,23,1
6,Germany,2,-1,2,WC-A,7,2002-03,23,0
58,Adler Mannheim,12,0,17,Germany,46,2003-04,24,5
2,Germany,0,0,0,W-Cup,3,2004-05,25,0
67,Adler Mannheim,4,0,5,Germany,39,2004-05,25,1
164,Hannover Scorpions,13,0,30,Germany,50,2005-06,26,17
10,Germany,0,-4,0,Olympics,5,2005-06,26,0
2,Germany,5,3,11,WC-B,5,2005-06,26,6
107,Hannover Scorpions,24,0,44,Germany,38,2006-07,27,20
90,Hannover Scorpions,21,0,30,Germany,38,2007-08,28,9
108,Hannover Scorpions,16,0,40,Germany,48,2008-09,29,24
72,Hannover Scorpions,24,0,41,Germany,52,2009-10,30,17
70,Hannover Scorpions,28,0,51,Germany,52,2010-11,31,23
34,Hannover Scorpions,19,0,27,Germany,50,2011-12,32,8
66,Hannover Scorpions,18,0,24,Germany,46,2012-13,33,6
