game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
1,3.7,-3,27,0,23,,20,6,1987-88,7,0,1,1,NJD,,83,,NHL
0,66.7,-4,3,0,25,,6,0,1989-90,2,0,2,2,NJD,,21,,NHL
0,0.0,2,4,0,26,,7,1,1990-91,1,0,0,0,NJD,,10,,NHL
0,0.0,3,6,0,27,,7,3,1991-92,3,0,0,0,NJD,,16,,NHL
0,0.0,-1,4,0,28,,5,0,1992-93,0,0,0,0,NJD,,8,,NHL
0,0.0,-6,8,0,29,,20,1,1993-94,1,0,0,0,NJD,,45,,NHL
0,9.1,9,11,0,30,,0,0,1994-95,1,0,1,1,NJD,SC,22,,NHL
0,0.0,1,8,0,32,,10,0,1996-97,0,0,0,0,NJD,,28,,NHL
0,0.0,0,7,0,33,,6,1,1997-98,1,0,0,0,NJD,,10,,NHL
0,0.0,3,5,0,34,18:01,7,0,1998-99,0,0,0,0,NJD,,8,126,NHL
0,11.1,-2,9,0,35,17:52,0,2,1999-00,3,0,1,1,NJD,SC,14,411,NHL
0,0.0,4,13,0,36,16:41,0,3,2000-01,3,0,0,0,NJD,,21,417,NHL
0,0.0,3,4,0,37,16:49,6,0,2001-02,0,0,0,0,NJD,,8,101,NHL
0,0.0,2,2,0,38,13:44,13,0,2002-03,0,0,0,0,NJD,SC,2,178,NHL
