assists,year,games_played,points,goals,team,age,pim,plus_minus,league
3,1949-50,5,5,2,St. Michael\'s Majors,17,4,0,OHA-Jr.
3,1951-52,8,6,3,St. Michael\'s Majors,19,0,0,OHA-Jr.
7,1952-53,17,20,13,St. Michael\'s Majors,20,18,0,OHA-Jr.
5,1958-59,11,8,3,Buffalo Bisons,26,10,0,AHL
3,1959-60,7,5,2,Cleveland Barons,27,4,0,AHL
3,1960-61,4,3,0,Cleveland Barons,28,0,0,AHL
0,1961-62,2,0,0,Rochester Americans,29,2,0,AHL
3,1963-64,9,6,3,Quebec Aces,31,0,0,AHL
1,1964-65,7,1,0,Seattle Totems,32,8,0,WHL
7,1966-67,10,9,2,Seattle Totems,34,4,0,WHL
6,1967-68,9,9,3,Seattle Totems,35,2,0,WHL
0,1968-69,4,0,0,Seattle Totems,36,0,0,WHL
