won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
SC,0,NHL,6,DET,340,26,2,0,0,8,0,0,0,2,3,0,0,0,0,0,1936-37,0,1.41,0,0
,0,NHL,6,NYA,475,27,0,0,0,12,0,0,0,0,3,0,0,0,0,0,1937-38,0,0,0,0
,0,NHL,3,NYA,180,29,2,0,0,9,0,0,0,0,1,0,0,0,0,0,1939-40,0,3.00,0,0
