average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,NHL,26,0,0,-1,0,0,0,0,0,1970-71,VAN,0,0,[],0,,1
,58,1,1,WHA,28,0,43,0,0,4,0,0,0,1972-73,NYW,5,53,[],0,,0
,46,0,0,WHA,29,0,22,0,0,2,1,0,0,1973-74,NYJ,3,43,[],0,,74
,29,0,0,WHA,30,0,30,-14,91,0,1,0,0,1974-75,TOT,1,28,[],1.1,,73
,12,0,0,WHA,30,0,12,-4,43,0,1,0,0,1974-75,SDM,1,11,[],2.3,,36
,17,0,0,WHA,30,0,18,-10,48,0,0,0,0,1974-75,INR,0,17,[],0.0,,37
,26,1,0,WHA,31,0,28,4,104,1,0,0,0,1975-76,INR,1,25,[],1.0,,79
,13,0,0,WHA,32,0,25,-12,34,3,0,0,0,1976-77,INR,3,10,[],8.8,,52
,26,0,0,WHA,33,0,34,-39,30,0,1,0,0,1977-78,INR,1,25,[],3.3,,77
,5,0,0,WHA,34,0,10,-11,9,2,0,0,0,1978-79,INR,2,3,[],22.2,,22
