power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,6,0,0,NHL,1979-80,19,0,CBH,,0,4,3,0,7,,,0.0,0
0,3,2,0,NHL,1980-81,20,0,CBH,,2,2,1,0,8,,,0.0,0
0,4,2,0,NHL,1981-82,21,0,CBH,,2,5,2,0,6,,,0.0,0
0,7,0,0,NHL,1982-83,22,0,CBH,,0,11,-3,0,6,,,0.0,0
0,5,1,0,NHL,1983-84,23,0,CBH,,1,10,1,0,8,,,0.0,0
1,11,9,0,NHL,1984-85,24,2,CBH,,7,31,13,0,20,,,10.0,1
0,3,1,0,NHL,1985-86,25,0,CBH,,1,9,-1,0,5,,,0.0,0
0,4,1,0,NHL,1986-87,26,0,CHI,,1,6,-1,0,7,,,0.0,0
0,5,2,0,NHL,1987-88,27,0,CHI,,2,10,-3,0,12,,,0.0,0
0,13,4,0,NHL,1988-89,28,1,CHI,,3,25,1,0,13,,,7.7,1
0,18,4,0,NHL,1989-90,29,0,CHI,,4,43,2,0,18,,,0.0,0
0,6,1,0,NHL,1990-91,30,1,CHI,,0,8,0,0,9,,,11.1,1
0,14,8,0,NHL,1991-92,31,0,CHI,,8,18,-3,0,20,,,0.0,0
0,4,1,0,NHL,1992-93,32,0,CHI,,1,2,1,0,3,,,0.0,0
