pim,team,assists,plus_minus,points,league,games_played,year,age,goals
2,Iowa Stars,1,1,2,AHL,7,2005-06,22,1
2,Iowa Stars,5,3,7,AHL,12,2006-07,23,2
2,Wilkes-Barre Penguins,2,2,4,AHL,4,2009-10,26,2
2,Portland Pirates,1,-1,1,AHL,1,2012-13,29,0
-4,Hershey Bears,5,2,7,AHL,10,2014-15,31,2
