shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
5.4,0,1992-93,54,4,,0,0,0,37,2,1,-5,6,MTL,2,0,0,22,1,NHL,0,0,,0,31,0,8,[],1
4.2,0,1993-94,78,7,,1,0,0,165,12,4,-12,20,MDA,7,0,0,23,1,NHL,1,0,,0,68,0,27,[],2
0.9,0,1994-95,30,8,,0,0,0,107,6,1,-11,14,OTT,1,0,0,24,0,NHL,0,0,,0,45,0,15,[],0
4.5,0,1995-96,94,10,,2,0,0,157,2,5,-26,14,OTT,7,0,0,25,2,NHL,0,0,,0,80,0,21,[],2
0.0,0,1996-97,4,0,,0,0,0,9,0,0,1,0,OTT,0,0,0,26,0,NHL,0,0,,0,5,0,0,[],0
1.9,0,1997-98,54,5,,0,0,0,53,1,1,-5,6,TOT,1,0,0,27,0,NHL,0,0,,0,55,0,7,[],0
6.3,0,1997-98,6,1,,0,0,0,16,0,1,-3,1,OTT,1,0,0,27,0,NHL,0,0,,0,13,0,2,[],0
0.0,0,1997-98,48,4,,0,0,0,37,1,0,-2,5,CAR,0,0,0,27,0,NHL,0,0,,0,42,0,5,[],0
0.0,0,1998-99,48,10,1028,0,0,0,44,0,0,9,10,CAR,0,0,0,28,0,NHL,0,0,19:02,0,54,0,10,[],0
8.7,0,1999-00,59,11,1520,2,0,0,150,18,5,3,31,CAR,13,0,0,29,2,NHL,0,0,24:31,0,62,0,44,"[{'link': '/awards/voting-2000.html#AS', 'name': 'AS-16'}, {'link': '/awards/voting-2000.html#norris', 'name': 'Norris-13'}]",8
2.1,0,2000-01,51,8,835,0,0,0,47,2,1,5,10,STL,1,0,0,30,0,NHL,0,0,17:23,0,48,0,11,[],0
4.8,0,2001-02,89,9,1541,0,0,0,145,17,3,0,26,TOT,7,0,0,31,2,NHL,0,0,21:24,0,72,0,33,[],4
0.0,0,2001-02,28,2,367,0,0,0,29,1,0,1,3,STL,0,0,0,31,0,NHL,0,0,15:56,0,23,0,3,[],0
6.0,0,2001-02,61,7,1175,0,0,0,116,16,3,-1,23,CAR,7,0,0,31,2,NHL,0,0,23:58,0,49,0,30,[],4
2.7,0,2002-03,141,6,1996,0,0,0,188,18,4,4,24,CAR,5,0,0,32,0,NHL,0,0,24:21,0,82,0,29,[],1
5.7,0,2003-04,84,12,2032,1,0,0,228,13,7,-2,26,CAR,13,0,0,33,1,NHL,0,0,25:24,0,80,0,39,[],6
1.8,0,2005-06,80,15,1572,0,0,0,110,3,1,3,18,FLA,2,0,0,35,0,NHL,0,0,20:09,0,78,0,20,[],1
1.1,0,2006-07,110,12,1826,0,0,0,88,12,1,6,24,NYI,1,0,0,36,0,NHL,0,0,22:33,0,81,0,25,[],0
11.1,0,2007-08,32,3,532,0,11,42,18,4,1,-16,7,MIN,2,1,0,37,1,NHL,0,43,15:12,68,35,0,9,[],1
