goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
1.4,0,NHL,13,SJS,645,24,6,118,1,48,0,-7.18,3,0,2,1,0,0,0,.868,1991-92,365,4.47,0,[],317
6.8,0,NHL,36,SJS,2074,25,26,99,0,142,0,1.86,0,1,7,0,0,0,0,.886,1992-93,1250,4.11,10,[],1108
11.8,0,NHL,0,SJS,0,26,28,97,2,209,0,7.57,0,3,30,2,0,0,0,.899,1993-94,2064,2.84,16,"[{'link': '/awards/voting-1994.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-1994.html#hart', 'name': 'Hart-14'}, {'link': '/awards/voting-1994.html#vezina', 'name': 'Vezina-5'}]",1855
5.3,0,NHL,38,SJS,2043,27,19,106,0,111,0,-6.01,3,4,14,0,0,0,0,.895,1994-95,1056,3.26,4,"[{'link': '/awards/voting-1995.html#vezina', 'name': 'Vezina-13'}]",945
1.1,0,NHL,22,SJS,1112,28,12,138,0,85,0,-23.34,4,0,4,0,0,0,0,.860,1995-96,607,4.59,4,[],522
3.6,0,NHL,35,DAL,1965,29,12,112,2,88,0,-9.40,3,3,17,2,0,0,0,.893,1996-97,825,2.69,8,[],737
5.9,0,NHL,41,VAN,1999,30,11,99,0,91,0,1.07,6,2,14,0,0,0,0,.907,1997-98,982,2.73,2,[],891
13.1,0,NHL,62,CAR,3643,31,20,84,0,135,0,26.64,12,6,27,0,0,0,0,.923,1998-99,1753,2.22,10,"[{'link': '/awards/voting-1999.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-1999.html#vezina', 'name': 'Vezina-8'}]",1618
11.6,0,NHL,0,CAR,4345,32,28,99,1,0,0,2.64,9,5,34,1,0,0,0,.906,1999-00,1858,2.42,14,"[{'link': '/awards/voting-2000.html#AS', 'name': 'AS-8'}]",1683
12.9,0,NHL,0,CAR,0,33,29,96,2,0,0,8.35,9,6,37,2,0,0,0,.908,2000-01,0,2.45,6,"[{'link': '/awards/voting-2001.html#AS', 'name': 'AS-12'}, {'link': '/awards/voting-2001.html#hart', 'name': 'Hart-28'}, {'link': '/awards/voting-2001.html#vezina', 'name': 'Vezina-10'}]",0
7.0,0,NHL,51,CAR,2974,34,19,107,1,126,0,-7.74,0,3,20,1,0,0,0,.902,2001-02,1282,2.54,10,[],1156
2.0,0,NHL,34,CAR,1884,35,24,134,0,100,0,-25.61,2,0,7,0,0,0,0,.877,2002-03,816,3.18,4,[],716
1.1,0,NHL,10,CAR,564,36,2,0,0,23,0,0,1,0,5,0,0,0,0,.899,2003-04,228,2.45,2,[],205
