giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,2,0,24,0,1,1,0,1,0,24,PIT,1,0,[],0.0,0,0,0,0,0,0,2008-09,1,11:53,0,0,0,0
7,NHL,12,0,25,0,28,14,3,14,0,199,PIT,2,0,[],0.0,0,3,8,0,0,0,2009-10,14,16:37,0,2,0,3
8,NHL,47,0,26,0,138,60,17,44,1,705,PIT,7,0,[],5.0,3,14,11,3,0,0,2010-11,60,15:00,0,48,1,12
8,NHL,34,0,27,0,100,48,5,30,0,451,PIT,1,0,[],2.1,1,4,3,1,0,0,2011-12,37,13:15,0,13,0,4
8,NHL,35,0,28,0,105,58,10,76,3,624,TOT,8,0,[],0.0,0,10,4,0,0,0,2012-13,42,17:50,0,29,1,6
2,NHL,3,0,28,0,10,7,0,2,0,41,PIT,0,0,[],0.0,0,0,-2,0,0,0,2012-13,3,13:36,0,0,0,0
6,NHL,32,0,28,0,95,51,10,74,3,583,ANA,8,0,[],0.0,0,10,6,0,0,0,2012-13,39,18:13,0,29,1,6
32,NHL,78,2,29,0,219,107,18,215,1,1513,ANA,17,0,[],4.7,5,13,21,5,0,0,2013-14,150,19:24,0,39,0,12
22,NHL,60,0,30,0,175,86,14,170,0,1166,TOT,15,0,[],2.3,2,12,-4,2,0,0,2014-15,105,19:26,0,25,2,10
15,NHL,40,0,30,0,101,50,11,99,0,742,ANA,10,0,[],2.0,1,10,3,1,0,0,2014-15,73,18:33,0,17,1,9
7,NHL,20,0,30,0,74,36,3,71,0,424,PIT,5,0,[],2.8,1,2,-7,1,0,0,2014-15,32,21:13,0,8,1,1
18,NHL,66,0,31,0,172,90,10,154,0,1245,PIT,20,0,[],4.4,4,6,9,4,0,0,2015-16,104,18:52,0,30,1,5
40,NHL,0,1,32,0,149,84,7,82,0,1703,NJD,18,0,[],1.2,1,6,-7,1,0,0,2016-17,149,20:46,0,39,0,6
