pim,team,assists,plus_minus,points,league,games_played,year,age,goals
77,Melville Millionaires,32,0,51,SJHL,62,1994-95,18,19
22,University of Maine,31,0,38,H-East,39,1995-96,19,7
52,Canada,21,0,27,Nat-Tm,57,1996-97,20,6
6,Fredericton Canadiens,6,1,6,AHL,20,1997-98,21,0
0,Fredericton Canadiens,0,2,1,AHL,3,1998-99,22,1
31,Orlando Solar Bears,17,20,26,IHL,63,1999-00,23,9
32,Orlando Solar Bears,9,3,11,IHL,43,2000-01,24,2
30,2 Teams,26,28,36,AHL,74,2001-02,25,10
18,Chicago Wolves,17,15,20,AHL,42,2001-02,25,3
12,Hershey Bears,9,13,16,AHL,32,2001-02,25,7
26,Hershey Bears,27,-1,35,AHL,80,2002-03,26,8
37,Hershey Bears,21,-7,32,AHL,64,2003-04,27,11
54,Hershey Bears,37,1,44,AHL,67,2004-05,28,7
10,Oklahoma City Barons,16,7,17,AHL,18,2012-13,36,1
