shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
0.0,0,2007-08,4,1,31,0,0,3,3,0,0,1,1,NYI,0,2,0,22,0,NHL,0,4,15:32,1,2,0,1,[],0
2.1,0,2008-09,16,4,608,1,22,89,47,0,1,-9,5,NYI,1,14,0,23,0,NHL,0,50,15:13,28,40,0,6,[],0
3.8,0,2009-10,44,13,1428,1,38,169,78,4,2,-5,18,NYI,3,54,100.0,24,0,NHL,0,131,20:42,38,69,1,21,[],1
4.9,0,2010-11,45,16,1204,1,25,175,81,1,4,-5,18,NYI,4,39,0,25,1,NHL,0,131,18:49,54,64,0,22,[],0
3.9,0,2011-12,20,4,773,0,15,114,51,0,2,6,4,NSH,2,2,0,26,0,NHL,0,65,14:04,42,55,0,6,[],0
10.7,0,2012-13,14,6,405,0,13,60,28,0,3,9,6,WSH,3,2,0,27,1,NHL,0,35,17:37,10,23,0,9,[],0
0.0,0,2013-14,4,1,238,0,11,24,12,0,0,-4,1,WSH,0,0,0,28,0,NHL,0,16,18:16,10,13,0,1,[],0
0.0,0,2014-15,10,5,489,0,9,71,24,0,0,-1,5,TOT,0,6,0,29,0,NHL,0,53,12:52,38,38,0,5,[],0
0.0,0,2014-15,10,5,433,0,9,58,20,0,0,1,5,WSH,0,4,0,29,0,NHL,0,48,12:22,33,35,0,5,[],0
0.0,0,2014-15,0,0,56,0,0,13,4,0,0,-2,0,CAR,0,2,0,29,0,NHL,0,5,18:36,5,3,0,0,[],0
