shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0.0,1978-79,0,0,,0,2,0,0,0,0,NYI,0,22,0,NHL,0,,2,0,[],0
0.0,1979-80,7,0,,0,8,0,0,0,0,NYI,0,23,0,NHL,0,,9,0,[],0
