bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,0,[],0,4.14,0,37,NHL,0,21,.000,33,0,0,1,0,4,.892,2009-10,BUF,1,0.1,0,0,0,1,58
2,1,[],0,2.73,-2.16,377,NHL,7,22,.538,342,0,0,13,107,35,.907,2010-11,BUF,2,2.0,0,2,9,14,769
4,1,[],0,2.70,2.37,756,NHL,15,23,.682,693,2,0,22,96,63,.917,2011-12,BUF,11,4.9,0,4,8,26,1399
1,1,[],0,2.60,2.24,332,NHL,7,24,.778,305,0,0,9,92,27,.919,2012-13,BUF,4,2.3,0,1,4,12,623
3,0,[],0,2.82,-2.14,834,NHL,14,25,.538,760,0,0,26,103,74,.911,2013-14,BUF,17,4.8,0,5,4,28,1574
7,2,[],0,3.07,-16.63,1504,NHL,20,26,.455,1359,0,0,44,113,145,.904,2014-15,TOT,26,7.0,0,2,18,50,2834
6,1,[],0,3.27,-14.42,1237,NHL,16,26,.457,1117,0,0,35,114,120,.903,2014-15,BUF,21,5.7,0,2,13,37,2204
1,1,[],0,2.38,0,267,NHL,4,26,.444,242,0,0,9,0,25,.906,2014-15,DAL,5,1.3,0,0,5,13,630
1,2,[],0,2.17,2.89,398,NHL,8,27,.615,367,0,0,13,91,31,.922,2015-16,LAK,5,2.7,0,1,7,16,856
0,0,[],0,3.94,0,141,NHL,0,28,.000,123,0,0,4,0,18,.872,2016-17,TOR,3,0.2,0,1,0,6,274
