shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
0,11,2010-11,5,0,18,0,0,1,0,0,0,-1,0,PHI,0,1,31.3,23,0,NHL,0,0,9:05,8,2,5,0,[],0
0.0,15,2011-12,2,0,34,0,1,4,3,0,0,0,0,PHI,0,0,50.0,24,0,NHL,0,4,6:43,8,5,15,0,[],0
