average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,21,1,0,NHL,23,7,14,-10,81,11,2,0,1,1996-97,SJS,13,8,"[{'link': '/awards/voting-1997.html#calder', 'name': 'Calder-16'}]",16.0,,43
,2,0,0,NHL,24,0,0,-2,9,1,0,0,1,1997-98,SJS,1,1,[],11.1,,7
13:54,4,1,0,NHL,25,2,6,3,22,2,0,0,0,1998-99,SJS,2,2,[],9.1,195,14
13:22,29,0,0,NHL,26,15,15,-11,86,6,4,1,3,1999-00,TOT,10,19,[],11.6,882,66
11:26,16,0,0,NHL,26,9,11,2,52,4,2,0,1,1999-00,TBL,6,10,[],11.5,526,46
17:47,13,0,0,NHL,26,6,4,-13,34,2,2,1,2,1999-00,ATL,4,9,[],11.8,356,20
14:41,28,3,0,NHL,27,11,23,-6,96,10,2,3,2,2000-01,ATL,12,16,[],12.5,925,63
8:00,2,0,0,NHL,29,0,2,1,6,2,0,0,0,2002-03,NJD,2,0,[],33.3,96,12
