pim,team,assists,plus_minus,points,league,games_played,year,age,goals
10,Estevan Bruins,6,0,9,SJHL,17,1962-63,19,3
6,Estevan Bruins,1,0,2,M-Cup,6,1962-63,19,1
18,Estevan Bruins,11,0,18,SJHL,11,1963-64,20,7
0,Estevan Bruins,0,0,2,M-Cup,5,1963-64,20,2
0,Edmonton Oil Kings,0,0,1,M-Cup,4,1963-64,20,1
2,Minneapolis Bruins,1,0,1,CPHL,4,1964-65,21,0
4,Minnesota Rangers,5,0,5,CPHL,7,1965-66,22,0
2,Vancouver Canucks,0,0,2,WHL,8,1966-67,23,2
7,Omaha Knights,1,0,4,CHL,7,1968-69,25,3
2,Omaha Knights,4,0,5,CHL,7,1969-70,26,1
4,Boston Braves,3,0,5,AHL,9,1971-72,28,2
4,Boston Braves,0,0,1,AHL,4,1972-73,29,1
4,Binghamton Dusters,4,0,7,NAPro,15,1974-75,31,3
