won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,13,BOS,829,22,6,96,1,36,13,1.61,0,0,7,1,.462,0,6,.912,2009-10,409,2.61,0,373
,0,NHL,22,BOS,1466,25,8,78,0,0,22,12.76,0,0,14,0,.773,0,17,0,2012-13,0,1.88,0,0
,1,NHL,12,BOS,753,26,5,81,1,25,12,5.76,0,0,7,1,.583,0,7,.928,2013-14,348,1.99,2,323
,0,NHL,6,BOS,402,29,4,101,0,15,6,-0.12,0,0,2,0,.500,0,3,.920,2016-17,187,2.24,0,172
