won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,6,DET,307,21,2,119,0,12,0,-1.91,0,1,3,0,0,0,0,.891,1993-94,110,2.35,0,98
,0,NHL,2,DET,68,22,0,0,0,2,0,0,0,0,0,0,0,0,0,.920,1994-95,25,1.76,0,23
,0,NHL,15,DET,936,23,7,111,0,33,0,-3.15,0,2,8,0,0,0,0,.898,1995-96,322,2.12,4,289
SC,0,NHL,2,DET,47,24,0,0,0,2,0,0,0,0,0,0,0,0,0,.905,1996-97,21,2.55,2,19
SC,0,NHL,0,DET,0,25,6,96,1,0,0,1.93,0,2,0,1,0,0,0,.918,1997-98,588,2.12,12,540
,0,NHL,6,DET,358,26,2,96,0,14,0,0.66,0,1,4,0,0,0,0,.919,1998-99,172,2.35,0,158
,0,NHL,9,DET,547,27,4,93,1,18,0,1.36,0,2,5,1,0,0,0,.924,1999-00,237,1.97,4,219
,0,NHL,6,DET,365,28,4,108,0,15,0,-1.15,0,1,2,0,0,0,0,.905,2000-01,158,2.47,0,143
,0,NHL,7,NYI,392,29,4,107,0,17,0,-1.12,0,0,3,0,0,0,0,.912,2001-02,193,2.60,4,176
,0,NHL,7,STL,417,30,4,114,0,17,0,-2.09,0,1,3,0,0,0,0,.907,2002-03,183,2.45,4,166
,0,NHL,5,STL,287,31,4,142,1,12,0,-3.55,0,0,1,1,0,0,0,.890,2003-04,109,2.51,0,97
SC,0,NHL,19,DET,1160,35,4,81,0,30,18,6.93,0,0,0,0,.611,0,11,.930,2007-08,430,0,0,400
,1,NHL,23,DET,1406,36,8,87,2,47,23,7.10,0,0,15,2,.739,0,17,.926,2008-09,637,2.01,2,590
