goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
5.4,0,NHL,41,DET,2206,21,8,100,0,105,0,-0.18,5,2,23,0,0,0,0,.895,1993-94,999,2.86,2,"[{'link': '/awards/voting-1994.html#calder', 'name': 'Calder-5'}]",894
3.5,0,NHL,19,DET,1087,22,5,83,0,41,0,8.31,0,1,14,0,0,0,0,.917,1994-95,496,2.26,2,"[{'link': '/awards/voting-1995.html#vezina', 'name': 'Vezina-10'}]",455
7.8,0,NHL,50,DET,2933,23,6,88,3,106,0,14.88,5,5,0,2,0,1,0,.911,1995-96,1190,2.17,4,"[{'link': '/awards/nhl_all_star.html#1996', 'name': None}, {'link': '/awards/voting-1996.html#hart', 'name': 'Hart-22'}, {'link': '/awards/jennings.html#1996', 'name': None}, {'link': '/awards/voting-1996.html#vezina', 'name': 'Vezina-2'}]",1084
7.0,0,NHL,47,DET,2769,24,13,95,2,106,0,5.95,9,6,23,2,0,0,0,.910,1996-97,1175,2.30,6,[],1069
10.6,0,NHL,64,DET,3807,25,20,93,0,140,0,10.49,11,6,33,0,0,0,0,.913,1997-98,1605,2.21,31,"[{'link': '/awards/voting-1998.html#vezina', 'name': 'Vezina-7'}]",1465
10.0,0,NHL,63,DET,3691,26,25,98,3,149,0,3.52,4,3,34,3,0,0,0,.910,1998-99,1654,2.42,8,[],1505
8.5,0,NHL,53,DET,3148,27,14,98,1,126,0,2.98,8,6,30,1,0,0,0,.907,1999-00,1349,2.40,18,"[{'link': '/awards/voting-2000.html#AS', 'name': 'AS-6'}]",1223
8.0,0,NHL,52,DET,2834,28,19,100,0,127,0,-0.27,4,1,25,0,0,0,0,.903,2000-01,1310,2.69,8,[],1183
11.0,0,NHL,66,NYI,3743,29,25,98,4,156,0,3.31,6,4,32,4,0,0,0,.910,2001-02,1727,2.50,10,[],1571
4.9,0,NHL,46,TOT,2525,30,17,118,0,124,0,-18.89,6,4,21,0,0,0,0,.892,2002-03,1153,2.95,12,[],1029
4.0,0,NHL,37,NYI,1993,30,14,117,0,97,0,-13.86,4,2,17,0,0,0,0,.894,2002-03,912,2.92,12,[],815
0.9,0,NHL,9,STL,532,30,3,0,0,27,0,0,2,2,4,0,0,0,0,.888,2002-03,241,3.05,0,[],214
9.7,0,NHL,67,STL,3861,31,25,101,0,144,0,-1.15,8,3,31,0,0,0,0,.910,2003-04,1604,2.24,10,[],1460
4.7,0,NHL,32,DET,1846,33,6,104,0,85,0,-3.25,5,2,20,0,0,0,0,.897,2005-06,828,2.76,8,[],743
3.1,0,NHL,21,DET,1161,34,3,98,1,46,0,1.00,6,0,11,1,0,0,0,.907,2006-07,496,2.38,6,[],450
6.6,8,NHL,43,DET,2409,35,9,95,3,84,40,4.66,4,4,27,3,.650,0,26,.914,2007-08,976,0,0,"[{'link': '/awards/voting-2008.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2008.html#byng', 'name': 'Byng-60'}, {'link': '/awards/jennings.html#2008', 'name': None}, {'link': '/awards/voting-2008.html#vezina', 'name': 'Vezina-11'}]",892
4.3,10,NHL,46,DET,2663,36,9,124,2,137,44,-26.46,8,2,26,2,.432,0,19,.887,2008-09,1208,3.09,8,[],1071
1.8,7,NHL,23,DET,1252,37,9,127,1,63,21,-13.22,4,1,7,1,.429,0,9,.888,2009-10,561,3.02,0,[],498
1.4,2,NHL,11,DET,629,38,3,0,0,29,10,0,2,0,5,0,.500,0,5,.903,2010-11,298,2.77,4,[],269
