shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
0,0,7,0,2300,39,0,1973-74,0,13,3.08,NHL,0,118,0,0,19,0,0,20,6.6,10,"[{'link': '/awards/voting-1974.html#calder', 'name': 'Calder-5'}]",0,0,0,STL
0,0,7,0,2360,40,2,1974-75,0,17,3.66,NHL,0,144,0,0,15,0,0,21,5.5,8,[],0,2,0,STL
0,0,5,0,3207,56,2,1975-76,0,22,3.97,NHL,0,212,0,0,28,0,0,22,6.1,8,[],3,2,0,NYR
0,0,6,0,2116,39,0,1976-77,0,14,3.54,NHL,0,125,0,0,14,0,0,23,5.0,6,[],1,0,0,NYR
0,0,4,0,1848,34,0,1977-78,0,14,3.18,NHL,0,98,0,0,13,0,0,24,5.2,10,[],1,0,0,NYR
0,0,5,0,2232,39,0,1978-79,0,20,3.52,NHL,0,131,0,0,12,0,0,25,5.9,12,[],0,0,0,NYR
0,0,4,0,2306,41,2,1979-80,0,20,3.17,NHL,0,122,0,0,15,0,0,26,7.1,2,[],2,2,0,NYR
0,0,1,0,560,10,1,1980-81,0,1,5.14,NHL,0,48,0,0,7,0,0,27,0.6,2,[],0,1,0,NYR
0,0,0,0,60,1,0,1981-82,0,1,1.00,NHL,0,1,0,0,0,0,0,28,0.4,2,[],0,0,0,NYR
0,0,0,0,120,2,0,1982-83,0,1,2.50,NHL,0,5,0,0,1,0,0,29,0.5,0,[],0,0,0,NYR
