assists,team,goals,year,games_played,points,pim,age,plus_minus,league
12,Karpat Oulu U18,17,1992-93,33,29,73,17,0,Fin-U18
13,Karpat Oulu Jr.,15,1993-94,35,28,26,18,0,Fin-Jr.
1,Karpat Oulu,3,1993-94,3,4,2,18,0,Finland-2
2,Kiekko-67 Turku,4,1994-95,16,6,10,19,0,Finland-2
3,TPS Turku,4,1994-95,9,7,16,19,0,Finland
2,2 Teams,9,1994-95,11,11,64,19,0,Fin-Jr.
2,TPS Turku Jr.,8,1994-95,10,10,64,19,0,Fin-Jr.
0,Kiekko-67 Turku Jr.,1,1994-95,1,1,0,19,0,Fin-Jr.
0,Kiekko-67 Turku,1,1995-96,2,1,8,20,0,Finland-2
5,TPS Turku,11,1995-96,30,16,49,20,0,Finland
5,TPS Turku,10,1996-97,41,15,48,21,0,Finland
0,TPS Turku,1,1996-97,6,1,31,21,0,EuroHL
6,TPS Turku,2,1997-98,29,8,71,22,0,Finland
0,TPS Turku,0,1997-98,4,0,2,22,0,EuroHL
18,Blues Espoo,23,1998-99,52,41,74,23,0,Finland
4,2 Teams,7,1999-00,40,11,189,24,0,Finland
2,Blues Espoo,5,1999-00,18,7,124,24,0,Finland
2,HIFK Helsinki,2,1999-00,22,4,65,24,0,Finland
12,HIFK Helsinki,14,2000-01,56,26,36,25,0,Finland
18,Cleveland Barons,24,2001-02,67,42,136,26,-18,AHL
0,Farjestads BK Karlstad,11,2002-03,10,11,12,27,0,Sweden
13,Farjestads BK Karlstad,15,2003-04,47,28,98,28,0,Sweden
0,Farjestads BK Karlstad,1,2004-05,8,1,10,29,0,Sweden
18,Ilves Tampere,27,2004-05,36,45,51,29,0,Finland
8,HC Fribourg-Gotteron,5,2005-06,16,13,16,30,0,Swiss
12,Jokerit Helsinki,16,2005-06,35,28,93,30,0,Finland
12,Karpat Oulu,9,2006-07,15,21,16,31,0,Finland
42,Karpat Oulu,24,2007-08,54,66,42,32,0,Finland
3,Finland,1,2007-08,6,4,29,32,1,WC-A
8,Dynamo Minsk,12,2008-09,25,20,22,33,0,KHL
7,Sodertalje SK,10,2008-09,24,17,10,33,0,Sweden
4,Finland,2,2008-09,7,6,12,33,0,WC-A
14,2 Teams,18,2009-10,44,32,60,34,0,KHL
11,Dynamo Minsk,16,2009-10,32,27,42,34,0,KHL
3,Ak Bars Kazan,2,2009-10,12,5,18,34,0,KHL
2,Rapperswil-Jona Lakers,4,2010-11,4,6,2,35,0,Swiss
0,Traktor Chelyabinsk,2,2010-11,17,2,6,35,0,KHL
1,HIFK Helsinki,3,2010-11,10,4,29,35,0,Finland
9,Farjestads BK Karlstad,10,2011-12,36,19,41,36,0,Sweden
