game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
2,0,7,42,0,0,25,6,0,1998-99,5,0,9,0,10,NHL,21.4,1,0,0,0,20,0,14:14,[],15,0,9,356,CHI
1,0,-6,86,0,0,47,8,0,1999-00,8,0,10,0,18,NHL,11.6,0,0,0,0,21,0,12:54,[],18,0,10,606,CHI
5,0,1,156,0,0,79,28,0,2000-01,23,0,23,9,54,NHL,14.7,5,0,0,0,22,0,15:01,[],51,0,14,1186,BUF
3,0,-10,154,0,0,76,21,0,2001-02,15,0,23,7,42,NHL,14.9,6,0,0,0,23,0,15:14,[],44,0,16,1157,BUF
2,0,-14,135,0,0,76,21,0,2002-03,13,0,14,2,44,NHL,10.4,8,0,0,0,24,0,15:04,[],35,0,12,1145,BUF
1,0,-9,156,0,0,77,31,0,2003-04,24,0,22,10,40,NHL,14.1,7,0,0,0,25,0,17:00,[],53,0,12,1310,BUF
4,0,-1,116,0,0,54,20,0,2005-06,9,0,20,9,38,NHL,17.2,11,0,0,0,27,0,16:00,[],40,0,11,864,BUF
3,0,14,143,0,0,82,45,0,2006-07,31,0,21,5,28,NHL,14.7,14,0,0,0,28,0,16:12,"[{'link': '/awards/voting-2007.html#byng', 'name': 'Byng-43'}]",66,0,16,1328,NSH
8,47,5,192,10,0,80,43,3,2007-08,34,0,29,7,34,NHL,15.1,9,44,23.1,11,29,336,18:30,"[{'link': '/awards/voting-2008.html#byng', 'name': 'Byng-20'}]",72,54,22,1480,NSH
4,39,1,176,3,0,82,49,3,2008-09,32,0,16,5,20,NHL,9.1,17,33,50.0,13,30,318,17:30,"[{'link': '/awards/voting-2009.html#byng', 'name': 'Byng-35'}]",65,66,11,1435,NSH
3,33,8,112,0,0,74,28,0,2009-10,18,1,17,3,20,NHL,15.2,10,20,0,19,31,196,14:46,"[{'link': '/awards/voting-2010.html#byng', 'name': 'Byng-54'}]",45,34,13,1093,NSH
2,35,2,89,1,0,70,9,1,2010-11,6,0,10,1,16,NHL,11.2,3,45,50.0,8,32,148,11:11,[],19,23,9,783,NSH
