year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1928-29,17,0,0,0,0,OHA-Jr.,3,Toronto Canoe Club,0
1930-31,19,0,0,0,0,NSEHL,2,New Glasgow Tigers,0
1931-32,20,0,0,0,0,MSHL,2,Fredericton Capitals,0
1932-33,21,1,4,2,0,MSHL,5,Moncton Hawks,3
1932-33,21,1,4,2,0,Al-Cup,8,Moncton Hawks,3
1933-34,22,0,0,0,0,MSHL,3,Moncton Hawks,0
1933-34,22,8,12,9,0,Al-Cup,12,Moncton Hawks,17
1935-36,24,0,2,2,0,Can-Am,4,Philadelphia Ramblers,2
1936-37,25,0,2,0,0,IAHL,3,Providence Reds,0
1937-38,26,3,2,1,0,IAHL,7,Providence Reds,4
1938-39,27,1,2,2,0,IAHL,5,Hershey Bears,3
1939-40,28,2,4,5,0,IAHL,9,Pittsburgh Hornets,7
1940-41,29,2,6,3,0,AHA,8,Kansas City Americans,5
1941-42,30,0,0,0,0,AHA,3,St. Louis Flyers,0
1943-44,32,8,10,6,0,Exhib.,6,Saint John Garrison,14
1943-44,32,28,8,15,0,Al-Cup,9,Saint John Beavers,43
1944-45,33,20,6,13,0,Al-Cup,9,Saint John Beavers,33
1945-46,34,15,2,3,0,Al-Cup,4,Moncton Maroons,18
1946-47,35,8,2,9,0,MSHL,9,Moncton Hawks,17
