shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
7.9,1974-75,51,12,,0,76,0,5,-25,12,MNS,6,19,0,NHL,0,,0,18,[],1
4.9,1975-76,54,9,,0,102,4,2,-17,13,MNS,5,20,1,NHL,0,,0,18,[],3
6.0,1976-77,68,11,,0,83,3,3,-31,14,MNS,5,21,0,NHL,1,,79,19,[],1
2.9,1977-78,53,13,,0,103,3,3,-23,16,TOT,3,22,0,NHL,0,,74,19,[],0
2.5,1977-78,51,7,,0,81,2,2,-28,9,MNS,2,22,0,NHL,0,,61,11,[],0
4.5,1977-78,2,6,,0,22,1,1,5,7,CBH,1,22,0,NHL,0,,13,8,[],0
3.1,1978-79,15,8,,0,32,0,1,-12,8,CBH,1,23,0,NHL,0,,44,9,[],0
7.4,1979-80,52,18,,3,122,10,2,18,31,EDM,9,24,1,NHL,2,,78,40,[],5
4.6,1980-81,76,10,,0,109,6,3,21,16,EDM,5,25,0,NHL,1,,59,21,[],1
6.0,1981-82,66,14,,1,50,6,2,-1,21,TOT,3,26,0,NHL,0,,61,24,[],1
6.8,1981-82,55,13,,1,44,6,2,6,20,EDM,3,26,0,NHL,0,,49,23,[],1
0.0,1981-82,11,1,,0,6,0,0,-7,1,WSH,0,26,0,NHL,0,,12,1,[],0
0.0,1982-83,7,0,,0,6,0,0,-3,0,WSH,0,27,0,NHL,0,,6,0,[],0
