power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,17,11,1,NHL,1986-87,20,6,MTL,,5,30,4,1,30,,,20.0,4
0,3,1,0,NHL,1987-88,21,1,MTL,,0,12,-3,0,9,,,11.1,1
2,21,9,2,NHL,1988-89,22,4,MTL,,5,65,3,0,28,,,14.3,2
0,11,10,0,NHL,1989-90,23,2,MTL,,8,20,8,0,29,,,6.9,2
4,13,15,3,NHL,1990-91,24,9,MTL,,6,36,5,1,42,,,21.4,4
0,10,7,0,NHL,1991-92,25,2,MTL,,5,15,1,0,23,,,8.7,2
0,13,14,1,NHL,1995-96,29,8,STL,,6,22,-1,1,37,,,21.6,1
0,5,1,0,NHL,1996-97,30,1,MTL,,0,4,-5,1,8,,,12.5,0
1,10,9,1,NHL,1997-98,31,3,MTL,,6,26,3,0,33,,,9.1,2
0,11,2,0,NHL,2000-01,34,1,TOR,18:59,1,14,-1,0,12,209,,8.3,1
0,19,7,0,NHL,2001-02,35,1,TOR,21:04,6,33,-2,0,37,400,,2.7,1
0,2,0,0,NHL,2002-03,36,0,TOR,9:42,0,2,-2,0,1,19,,0.0,0
0,5,1,0,NHL,2003-04,37,0,DAL,13:56,1,12,-5,0,2,70,,0.0,0
