assists,year,games_played,points,goals,team,age,pim,plus_minus,league
2,1990-91,12,7,5,Kamloops Blazers,16,7,0,WHL
6,1991-92,17,16,10,Kamloops Blazers,17,18,0,WHL
2,1991-92,5,2,0,Kamloops Blazers,17,10,0,M-Cup
7,1992-93,13,13,6,Kamloops Blazers,18,14,0,WHL
8,1993-94,18,21,13,Kamloops Blazers,19,43,0,WHL
1,1993-94,4,2,1,Kamloops Blazers,19,6,0,M-Cup
2,1995-96,4,3,1,Worcester IceCats,21,2,0,AHL
0,1996-97,4,3,3,Kentucky Thoroughblades,22,8,0,AHL
3,1997-98,10,7,4,Milwaukee Admirals,23,36,0,IHL
6,1998-99,12,9,3,Kentucky Thoroughblades,24,8,0,AHL
1,1999-00,8,2,1,Kentucky Thoroughblades,25,6,0,AHL
0,2000-01,3,0,0,Kentucky Thoroughblades,26,0,0,AHL
