assists,year,games_played,points,goals,team,age,pim,plus_minus,league
48,1989-90,28,72,34,Whitehorse Bears,15,84,0,AAHL
12,1990-91,48,16,4,Kamloops Blazers,16,43,0,WHL
5,1990-91,5,9,4,Canada,16,0,0,U-18
26,1991-92,68,54,28,Kamloops Blazers,17,79,0,WHL
32,1992-93,68,63,31,Kamloops Blazers,18,93,0,WHL
59,1993-94,70,103,44,Kamloops Blazers,19,171,0,WHL
8,1994-95,63,19,11,Worcester IceCats,20,37,0,AHL
7,1995-96,57,23,16,Worcester IceCats,21,57,0,AHL
31,1996-97,58,46,15,Kentucky Thoroughblades,22,57,0,AHL
18,1997-98,64,36,18,Milwaukee Admirals,23,84,0,IHL
31,1998-99,60,53,22,Kentucky Thoroughblades,24,68,18,AHL
25,1999-00,75,42,17,Kentucky Thoroughblades,25,83,2,AHL
29,2000-01,54,39,10,Kentucky Thoroughblades,26,61,4,AHL
